ID,Age,Income,Total_Spent,Total_Purchases,Family_Size,Childrens,Cluster
5524,59,58138,1617,25,1,0,3
2174,62,46344,27,6,3,2,2
4141,51,71613,776,21,2,0,0
6182,32,26646,53,8,3,1,2
5324,35,58293,422,19,3,1,3
7446,49,62513,716,22,3,1,0
965,45,55635,590,21,2,1,0
6177,31,33454,169,10,3,1,2
4855,42,30351,46,6,3,1,2
5899,66,5648,49,2,4,2,1
1994,33,42308,19,4,3,1,2
387,40,7500,61,6,2,0,1
2125,57,63033,1102,16,1,0,3
8180,64,59354,310,15,3,2,1
2569,29,17323,46,5,2,0,2
2114,70,82800,1315,26,1,0,0
9736,36,41850,96,9,4,2,1
4939,70,37760,317,13,2,0,2
6565,67,76995,1782,26,3,1,3
2278,31,33812,133,8,2,1,1
9360,34,37040,316,12,2,0,2
5376,37,2447,1730,43,3,1,0
1993,67,58607,972,17,3,1,3
4047,62,65324,544,20,3,1,0
1409,65,40689,444,20,3,1,3
7892,47,18589,75,8,1,0,1
2404,40,53359,257,14,4,2,2
5255,30,31159,637,27,2,1,0
9422,27,38360,131,9,3,1,2
1966,51,84618,1672,26,2,0,3
6864,27,10979,30,8,1,0,2
3033,53,38620,318,11,2,0,1
5710,46,40548,120,9,3,1,2
7373,64,46610,302,17,3,2,2
8755,70,68657,1196,18,2,0,0
10738,65,49389,65,6,3,2,1
4339,46,67353,913,28,3,1,0
10755,40,23718,81,9,3,1,1
8595,43,42429,67,7,2,1,1
2968,73,48948,902,24,1,0,3
8601,36,80011,1395,21,3,1,0
503,31,20559,53,7,3,1,1
8430,59,21994,22,4,3,1,2
7281,57,53411,186,9,1,0,1
2139,41,7500,31,8,3,1,2
1371,40,79941,984,16,1,0,3
9909,20,7500,122,10,2,0,2
7286,48,41728,55,5,3,1,1
7244,65,53472,124,10,4,3,1
6566,62,72550,1319,28,4,2,0
8614,59,65486,507,17,2,1,0
4114,52,79143,1693,29,2,0,0
1331,39,35790,72,7,2,1,1
2225,39,82582,1617,21,1,0,3
9381,38,66373,606,23,4,2,3
6260,61,82384,1957,27,2,0,3
10383,50,70287,1093,21,1,0,0
7437,28,27938,29,6,2,1,2
8557,34,45618,46,7,2,1,1
8375,48,55954,518,19,3,1,3
6853,34,75777,1438,21,1,0,0
3076,41,66653,612,22,4,2,0
1012,64,61823,884,24,2,1,0
6518,65,67680,606,19,2,1,0
4137,68,70666,1076,16,2,0,0
8082,45,25721,34,5,3,1,1
1386,49,32474,11,4,4,2,2
9369,37,88194,1274,32,2,1,0
4477,58,69096,653,18,3,1,0
1357,46,74854,1562,19,5,3,3
1402,62,66991,1253,21,2,0,0
10629,43,34210,109,9,3,1,2
6312,57,65031,863,30,3,1,0
8132,41,60631,661,24,4,2,3
1050,64,28332,65,8,2,0,1
5846,39,40246,13,4,2,1,1
1859,44,75251,1890,19,2,0,0
7503,40,75825,2209,22,1,0,0
10401,40,26326,18,4,2,0,2
1618,51,56046,692,21,2,0,0
3332,31,29760,165,12,2,1,1
2261,47,26304,16,4,3,1,2
5346,43,23559,79,9,3,1,1
535,29,81361,778,27,1,0,0
5268,56,29440,56,7,4,2,1
273,46,36138,151,13,4,2,2
4452,59,50388,372,17,2,1,2
8504,43,79593,1366,19,2,0,3
771,49,54178,194,10,3,1,1
8996,59,55337,603,29,5,3,0
9235,59,60037,18,4,3,2,2
5798,43,54859,985,15,2,0,3
11178,44,42394,32,5,2,1,1
2230,46,23626,43,10,3,1,1
7516,33,30096,45,6,3,1,2
7247,56,47916,606,22,2,1,3
11100,44,51813,63,7,3,2,2
4646,65,78497,978,25,2,0,0
3037,33,50150,410,16,2,0,2
1473,56,47823,72,7,2,1,2
1016,57,34554,55,7,2,1,2
4518,37,85693,1169,27,3,1,3
9370,71,65846,1120,16,2,0,3
8908,57,87195,1097,20,2,0,0
8373,37,24594,29,5,3,1,1
7533,52,49096,187,13,4,2,2
2683,47,52413,910,26,4,2,3
3629,38,38557,145,9,2,1,2
10991,56,89058,850,14,2,0,0
5077,37,77298,969,24,3,1,0
7431,25,68126,1820,17,1,0,0
3267,53,57288,608,20,3,1,0
999,25,86037,730,25,1,0,3
9215,36,43974,551,21,3,1,0
2286,54,50785,114,8,3,2,2
1592,46,90765,1724,15,2,0,0
367,38,36550,577,20,3,1,3
5234,49,30753,81,7,4,2,1
9862,47,21918,33,7,3,1,2
9805,63,56129,660,22,3,1,3
6205,49,32557,80,9,2,1,2
8442,31,19510,30,6,4,2,1
7386,40,30992,43,5,2,1,1
7215,33,101970,1135,27,1,0,3
1491,51,71488,559,16,2,0,1
11071,32,79607,1923,16,1,0,0
3381,63,54348,90,8,4,2,1
8268,55,60176,404,17,3,1,2
11051,60,77376,661,23,4,2,3
8026,64,62998,463,19,3,1,0
433,58,61331,632,23,3,2,0
9597,47,73448,725,19,2,0,0
1295,53,59759,725,19,3,1,3
5290,52,41551,279,16,4,2,1
1685,49,62981,1482,23,2,0,0
5342,40,9548,29,6,2,1,2
9579,57,33762,106,9,5,3,1
7660,43,35860,49,6,3,2,2
1461,51,36921,38,7,3,2,1
821,24,92859,2077,22,1,0,0
11084,40,65104,1053,17,3,1,0
8690,54,86111,1385,23,2,0,3
2937,42,68352,871,25,2,1,0
9701,28,41883,312,12,3,1,2
9949,40,59809,877,15,4,2,0
10837,41,23957,68,6,3,1,2
3120,35,38547,22,4,3,1,2
5885,43,35688,211,16,5,3,1
4050,50,49605,127,8,2,0,1
3830,63,59354,459,16,4,2,1
7987,47,65747,460,19,3,1,3
7798,44,46344,429,17,3,1,2
92,28,34176,89,11,2,1,2
7055,64,61010,1021,26,3,1,3
10240,67,69372,1381,21,2,0,0
3025,58,49967,306,15,2,1,2
9283,38,60199,18,4,4,3,2
9970,39,55375,162,9,3,1,2
2730,61,80317,1231,18,1,0,3
2795,58,30523,13,4,4,3,2
9260,71,70356,1706,27,2,0,0
8182,32,23228,121,11,3,1,1
10095,41,74165,1293,20,1,0,0
8475,43,157243,1608,37,3,1,3
4370,50,43482,88,9,5,3,1
10573,63,62551,421,18,1,0,0
3712,57,52332,259,12,1,0,1
6637,28,66951,1117,15,1,0,0
3152,59,26091,89,9,4,2,1
5610,51,33456,36,6,4,2,1
6460,34,28718,57,7,3,1,1
1349,46,50447,148,8,4,2,2
1880,57,53537,93,8,4,2,2
641,49,52074,119,7,2,1,1
8717,41,80427,1835,28,3,1,3
10314,68,83837,1318,25,2,0,3
10854,46,38853,45,7,4,2,1
10492,57,38285,10,4,5,3,1
7698,40,51650,191,10,3,1,1
3559,28,16248,57,9,3,1,1
10562,70,66835,1033,24,2,0,0
10796,32,30477,66,6,3,1,2
2563,55,28249,43,6,2,0,1
3518,33,25271,50,5,3,1,2
5823,46,32303,39,7,2,1,1
3934,50,61286,608,18,3,1,0
6982,40,74068,1581,24,2,0,0
6431,52,45759,68,7,4,2,2
9733,38,24882,80,5,3,1,1
5602,27,66973,1282,28,2,0,3
7829,116,36640,65,6,2,1,1
1324,28,38872,91,8,3,1,1
326,43,51148,315,16,4,2,2
7224,39,31353,31,6,4,2,2
6999,36,69661,834,23,2,0,3
9938,62,80067,1600,17,2,0,3
6422,62,86718,1270,17,2,0,0
3182,43,46854,263,15,3,2,1
7300,64,69142,535,19,2,1,3
10424,48,75922,1295,18,1,0,3
8727,38,63693,1150,29,2,1,3
2798,39,102160,1240,26,2,0,3
1030,51,40637,38,6,3,2,1
624,32,18890,35,4,1,0,2
5176,28,29604,53,5,3,1,1
5552,53,48721,293,17,3,2,1
868,50,44794,65,6,3,1,1
380,62,64497,1804,29,2,1,0
2677,60,46097,241,15,3,1,2
6521,62,77972,1101,20,2,0,0
6927,48,44377,264,19,4,2,1
2877,42,46014,541,26,4,2,0
0,31,70951,1198,17,2,0,3
1584,39,41443,482,20,3,1,3
7264,38,52195,17,4,4,3,2
6274,68,83790,1615,25,2,0,3
1377,62,44551,285,12,2,1,2
454,36,69508,1135,28,3,1,0
1755,28,45204,114,7,3,1,1
2075,47,72460,1047,16,2,0,3
4785,46,77622,714,22,4,2,0
9076,36,30732,185,13,3,1,2
7079,54,63887,1245,32,2,1,0
4653,38,42011,189,12,3,1,2
7375,40,51369,576,16,3,1,1
709,64,51537,1103,18,2,1,0
460,44,79930,1753,17,2,0,3
3726,30,34320,17,4,3,1,1
6798,50,37070,433,23,3,2,0
5341,54,81975,1588,14,2,1,0
1606,45,38590,22,4,3,1,1
9617,65,15033,19,5,1,0,2
3233,51,62745,1117,29,3,1,3
89,41,22212,69,8,3,1,2
2936,34,23661,23,5,3,1,2
9449,58,79761,605,19,2,1,0
7297,43,7500,57,11,2,1,1
11004,123,60182,22,4,2,1,2
313,48,73455,2088,22,1,0,3
9940,58,64961,1009,16,3,1,3
10735,45,22804,26,5,2,1,1
9529,26,73687,1627,22,2,0,0
6439,58,61074,1102,31,3,1,0
7411,52,31686,17,6,4,2,2
2176,44,80134,1690,16,3,1,0
9265,63,75027,1390,21,3,1,3
8867,28,67546,2126,20,2,0,3
8932,47,65176,1531,25,3,1,3
10236,41,31160,64,7,2,1,1
6340,31,29938,26,6,2,1,1
10089,42,102692,1112,29,1,0,0
2227,58,26490,210,11,2,0,1
10992,49,75702,1148,26,4,2,3
5304,42,30899,33,6,2,1,2
309,55,63342,1101,19,3,1,0
3406,52,45989,322,16,2,1,1
2661,52,18701,44,10,3,2,1
3153,59,40737,17,4,4,3,2
10264,37,15287,31,6,2,1,1
1184,48,69674,845,25,3,2,0
4200,46,44159,275,15,3,1,1
9396,38,37717,25,4,3,1,2
2387,64,43776,275,17,4,2,2
6690,50,38179,90,11,4,2,2
1225,53,80124,1495,19,2,0,0
9703,46,38097,184,11,4,2,1
291,46,72940,981,13,2,0,0
4557,46,22070,67,8,3,1,2
2379,63,69267,1635,14,1,0,0
5726,33,31788,60,10,2,1,2
3066,41,61905,231,12,3,1,2
6336,56,29315,48,10,4,2,1
10967,53,33378,99,9,3,2,2
2304,53,66313,770,23,3,1,3
3445,60,60714,957,23,1,0,3
7828,35,77882,818,12,2,0,2
3762,30,69867,925,17,1,0,0
4391,48,63841,908,22,2,1,3
4669,35,24480,102,10,3,1,2
1672,42,65640,461,15,3,1,1
8962,41,44319,37,7,4,2,2
9974,42,30631,70,7,3,1,1
10983,64,75278,930,23,2,0,0
8148,60,50898,859,33,4,2,3
10102,50,79946,1478,22,1,0,0
4697,67,35416,390,16,1,0,1
9262,32,32414,52,5,2,0,2
7254,47,38361,137,10,3,1,1
4543,36,82497,1919,19,2,0,0
4927,45,16626,68,9,4,2,1
10451,51,29672,25,4,4,2,2
2926,64,55951,1374,23,3,1,3
2874,28,35388,32,5,2,1,2
9738,30,42386,100,7,3,1,2
7119,34,68627,825,12,1,0,2
3924,51,57912,916,28,2,1,0
5827,58,35246,62,11,3,2,1
5596,60,58821,728,21,3,1,0
10812,38,46377,90,7,3,1,1
1717,28,39747,273,13,2,1,2
9491,32,23976,66,10,3,1,1
9274,55,80950,1213,23,2,0,0
6609,50,27038,107,7,1,0,1
6963,69,77457,1157,18,1,0,3
4440,52,64100,546,18,3,1,3
1379,24,42670,241,11,2,0,2
10032,40,12571,53,11,2,1,1
2826,49,22574,37,7,5,3,2
2437,27,42326,1611,24,2,0,3
6320,40,70893,1508,23,1,0,0
3050,50,54198,235,16,4,2,2
231,60,28839,32,7,4,2,1
2392,44,40321,102,8,4,2,1
9478,31,66503,401,15,2,1,2
113,65,30833,28,6,4,2,2
2863,46,50903,1052,21,4,3,3
1802,45,64795,680,21,3,1,0
520,42,34421,30,4,3,1,1
8275,51,47025,20,4,3,2,2
9750,55,64325,1307,23,2,1,0
2607,63,40464,630,24,2,1,3
7214,59,62187,1283,18,2,0,3
5835,40,14849,65,9,2,1,2
3896,32,27255,37,5,3,1,2
10350,66,54432,38,5,5,3,2
7786,30,29999,160,12,2,1,2
2861,33,24072,23,4,2,1,1
663,27,33996,71,6,1,0,2
10675,60,66334,1161,19,3,1,3
2521,45,35178,59,5,3,1,2
9592,33,22010,33,7,3,1,1
10151,56,62204,946,22,3,2,0
7381,48,75693,1442,22,1,0,0
4099,44,30675,62,5,3,1,2
9560,51,83003,1674,22,2,0,0
1150,117,83532,1853,15,2,0,0
10172,28,68655,1538,21,1,0,3
11191,30,41411,139,8,1,0,2
9707,47,55212,1182,20,3,1,3
6245,66,59292,507,18,3,1,3
8234,43,27190,18,4,3,1,2
1411,64,82623,940,16,1,0,3
8553,51,44300,42,6,4,2,1
1826,46,84835,1190,15,1,0,0
8842,45,30372,44,8,3,2,2
11030,40,33181,16,4,3,1,1
2579,59,71113,835,26,3,1,3
175,30,71952,1443,22,3,1,3
9185,50,69759,1029,18,1,0,0
11056,42,72099,1188,18,2,0,0
9365,40,60000,1277,24,2,1,3
6201,38,38643,49,7,3,2,2
2061,61,50737,99,7,3,1,1
6184,47,68462,1670,15,2,0,0
6142,73,65073,900,14,2,0,3
4107,68,46681,425,16,4,2,1
7274,59,78618,2153,22,2,0,3
9336,47,62187,636,21,2,1,0
2958,38,28442,57,10,4,2,1
5837,49,51479,494,22,4,2,3
10704,47,54803,693,19,2,1,3
5125,56,79530,1348,26,2,0,3
4432,40,31615,51,7,2,1,1
5955,54,72025,1932,16,2,0,0
2928,41,52614,990,16,2,1,3
5680,32,35684,30,5,3,1,1
10313,41,48178,254,16,4,2,1
2557,46,29548,29,5,2,1,1
1245,50,63810,1371,23,2,1,0
1519,44,38578,73,9,3,2,2
10703,41,46098,120,11,3,2,1
1726,46,22585,81,5,1,0,2
4459,27,30279,37,5,2,1,2
1729,55,66426,1377,20,3,1,0
1517,47,30822,51,5,2,1,1
2098,47,33581,17,4,4,2,2
9543,31,19986,22,4,3,1,1
6878,62,27421,324,14,1,0,2
2724,35,36143,19,4,2,1,2
948,45,10245,41,8,2,1,2
6720,48,43795,492,17,3,1,0
6202,56,63381,1005,26,3,1,3
2066,67,38823,114,7,3,1,1
9799,48,83664,1173,19,3,2,3
8318,37,90300,1738,19,2,0,0
5642,37,62499,222,12,3,1,2
2669,23,74293,1127,16,1,0,3
455,70,51012,209,10,2,0,1
7683,48,70777,787,23,3,1,3
3428,25,68682,1598,24,2,0,3
7414,45,43824,186,12,4,2,2
6354,32,15345,47,6,3,1,1
798,29,23442,27,5,2,1,1
8213,36,14515,96,11,3,1,1
2488,60,31395,64,10,3,2,1
9999,51,75276,1040,23,2,0,0
7617,42,42373,163,13,3,2,1
615,56,30507,343,11,2,0,2
2552,61,55521,446,24,4,3,0
194,51,48006,41,5,4,2,1
3645,44,27213,70,9,2,1,2
8890,45,65808,272,14,3,2,2
9973,53,50437,490,19,4,2,0
7301,34,23616,79,8,2,1,1
10882,40,53858,915,17,3,1,3
7030,61,66465,1485,35,3,1,0
7422,29,46923,369,16,2,1,1
3523,54,75072,1073,19,3,1,3
7106,73,75865,1242,19,2,0,3
6504,41,19789,78,9,3,1,2
5067,22,80134,1378,21,2,0,0
4216,35,91065,1474,26,1,0,0
8581,45,49505,751,29,4,2,0
5929,43,37401,48,7,3,1,2
6528,34,18492,10,4,3,1,1
1361,42,82584,1435,16,2,0,0
6932,75,93027,2119,22,2,0,3
7284,63,48686,20,4,5,3,2
1340,30,92910,1795,27,2,0,0
8746,27,75433,1188,19,3,1,0
5987,27,10404,43,7,3,1,1
3767,48,61314,1008,24,3,1,0
3725,55,84865,1688,16,1,0,0
4324,27,42387,684,21,3,1,0
238,49,67309,1082,39,4,2,3
6694,52,75236,1068,25,3,1,0
498,46,30015,57,7,2,1,2
9347,60,50943,46,5,3,1,2
9699,50,67272,733,23,2,1,0
10664,67,51529,467,17,2,1,2
5455,45,32011,122,10,3,1,1
456,30,7500,36,7,3,1,1
5012,27,28691,34,5,3,1,1
7495,68,56223,156,10,3,1,1
5029,70,18100,14,4,2,0,2
2106,42,20130,34,5,2,0,1
10364,57,23295,20,4,1,0,1
5954,44,42618,192,11,2,1,1
1137,52,81246,1379,17,1,0,3
2541,40,24027,48,7,3,1,2
1142,63,55707,428,16,3,1,1
2276,61,57959,868,27,2,1,3
2807,47,56796,1001,27,3,1,0
6471,45,36230,59,7,2,1,2
6131,36,70829,431,16,4,2,1
6233,40,65991,971,27,3,1,0
4148,44,38988,348,19,5,3,1
4947,50,89572,2059,24,1,0,0
3225,32,42207,265,14,3,1,1
7540,64,50300,270,13,3,1,1
10648,34,66664,1289,19,2,0,3
1992,52,60597,893,16,3,1,0
7851,67,70165,926,22,1,0,3
8594,58,50520,135,9,2,1,2
2815,41,33183,120,9,3,1,2
2416,47,66582,1288,20,1,0,3
7999,61,75261,1743,17,2,0,0
9213,46,31880,15,4,2,1,2
9697,65,53790,542,20,4,2,3
3916,45,49269,890,25,3,1,3
2021,41,61456,1388,33,3,1,0
1581,36,37406,17,4,3,1,2
564,35,56937,906,30,3,1,3
6619,38,38415,44,6,4,2,1
9081,28,20518,25,5,2,1,1
178,60,62503,973,26,3,1,0
916,44,41644,31,6,3,2,1
5512,39,55842,518,17,3,1,0
8970,44,62010,530,19,3,1,3
10581,39,41124,506,21,3,1,0
5300,43,38961,70,6,3,1,1
5154,44,37760,54,6,2,1,1
8346,42,32233,296,12,2,1,2
1676,41,43057,266,15,3,1,2
9286,56,83151,747,19,2,0,3
2426,52,78825,895,29,1,0,0
5562,42,60093,735,21,3,1,3
3436,47,14045,20,5,3,1,2
3921,64,28457,205,10,1,0,1
3403,58,78952,2092,21,3,1,0
22,40,46310,309,14,2,1,1
10965,61,76005,1722,22,2,0,3
9426,52,58308,900,15,2,1,3
6605,72,55614,682,20,1,0,3
3136,54,59432,663,22,2,1,3
8737,38,55563,43,6,2,1,2
11088,45,78642,1816,18,3,1,3
716,67,67911,976,27,3,1,3
466,72,65275,746,21,2,0,0
9135,66,27203,64,6,4,2,1
10623,55,48330,32,5,3,1,2
8151,26,24279,263,9,2,0,2
5140,31,64355,1445,21,3,1,3
4945,63,53653,1210,28,1,0,0
10584,40,65665,945,24,3,1,3
6071,27,81217,1157,22,1,0,3
3386,24,34935,137,8,2,0,1
8939,57,61250,730,25,2,1,0
9925,35,39665,216,12,3,1,1
4320,37,60152,943,23,2,1,0
5389,52,48920,347,16,4,2,1
6036,57,89120,1924,19,2,0,3
182,70,44124,397,17,3,1,1
203,41,81169,2089,22,1,0,3
11025,55,36443,138,11,4,2,2
10203,26,26095,42,5,2,1,1
4607,57,71367,777,17,2,0,0
3711,72,80184,1902,20,2,0,0
3696,51,30630,52,7,3,2,1
2532,29,73454,1651,13,1,0,3
9214,25,42691,358,13,2,0,2
4943,63,70503,1727,16,2,0,3
35,29,25545,210,10,3,1,2
2258,30,32880,42,5,3,1,1
4322,58,77863,1291,20,2,0,0
713,39,50353,442,15,2,0,1
4702,52,61839,1895,17,1,0,0
3281,56,49154,411,19,4,2,3
702,41,47682,521,19,2,1,3
2004,47,72679,1168,17,2,1,3
4769,39,57954,493,23,4,2,3
4437,54,65316,260,12,4,2,1
8724,34,28567,46,7,2,1,1
10741,65,47352,319,16,3,1,1
1991,49,44931,96,7,3,1,2
6931,49,76982,1062,16,1,0,0
11096,64,57247,232,12,3,1,1
304,35,22944,76,9,2,1,1
3665,39,25315,54,9,3,1,2
10591,47,43638,201,11,2,1,2
5036,32,42710,406,14,2,1,2
5547,34,84169,1919,20,2,0,0
7822,40,54058,662,20,3,1,3
8541,26,24683,41,8,3,1,1
10955,52,85620,1600,14,1,0,3
4368,36,47850,134,8,3,1,1
9671,48,19514,69,10,4,2,2
2256,43,27159,21,6,4,2,2
4279,53,39548,54,7,3,2,1
5371,27,21474,91,8,2,1,2
9240,45,60504,526,18,2,1,3
9460,53,22419,162,8,2,0,1
9504,67,81698,1008,25,2,0,0
8692,64,43462,240,16,4,2,1
448,38,54880,795,21,2,1,3
8314,34,79908,1772,19,2,0,0
8420,46,15315,64,8,2,0,2
3174,57,87771,1957,20,3,1,3
7685,38,33039,78,7,3,1,2
3179,36,81741,1572,19,1,0,3
9780,45,71499,795,26,3,1,0
10681,46,62466,889,26,3,1,0
10232,53,48799,331,15,2,1,2
4184,66,52157,265,12,3,1,2
9120,54,66565,1065,19,2,1,3
891,65,29298,11,4,4,2,1
10381,37,47691,21,4,2,1,2
3525,46,38200,17,4,4,2,2
6818,42,44989,369,16,3,1,2
3526,48,38443,38,6,4,2,1
8181,38,38593,177,11,2,1,2
1029,46,64413,279,12,3,1,2
7369,35,36959,62,7,3,1,1
2574,39,61996,1230,21,3,1,0
8159,48,51287,182,11,4,2,2
1160,46,13260,49,10,4,2,2
10242,50,47472,75,8,4,2,2
5253,60,54603,227,16,4,2,1
5966,42,45207,215,15,4,2,1
5081,49,47821,47,5,4,2,1
5123,65,27450,143,7,2,0,1
5756,33,39453,55,7,3,1,1
8036,45,26850,63,11,4,2,2
9058,61,79800,1867,22,1,0,3
5057,55,61794,611,20,3,1,3
254,61,53863,473,18,3,1,0
4179,57,24221,55,6,2,0,1
3710,32,39684,81,7,2,1,2
7627,41,92163,2086,21,2,0,0
4501,51,69882,1478,20,1,0,3
6424,39,33178,49,5,3,1,2
3075,44,59973,382,15,2,0,2
4992,41,17459,69,9,3,1,2
5252,47,23910,67,6,2,1,1
7444,47,42169,30,6,4,2,2
6919,38,26224,63,9,3,1,2
3537,35,31089,79,10,3,1,1
10277,55,30081,42,5,2,1,2
2453,56,62807,819,23,3,1,3
7972,61,72906,1151,17,1,0,3
895,68,61467,594,20,4,2,3
1177,50,49618,129,11,4,2,1
7141,30,21888,213,12,2,1,2
8477,60,26150,28,5,4,3,1
2457,41,30801,45,6,3,1,2
988,51,81168,1193,18,2,0,3
7930,47,26877,268,12,1,0,1
4587,72,45006,266,12,1,0,1
6682,43,18978,37,5,3,1,2
10299,47,48240,882,25,1,0,3
3083,42,45837,373,18,4,2,1
8953,51,35791,35,6,4,3,1
1503,40,162397,107,1,4,2,2
8650,38,54162,42,5,3,2,2
10862,56,30522,326,17,3,1,2
2782,55,54456,404,17,3,1,2
6941,45,31632,95,6,1,0,1
10972,67,72298,939,14,1,0,3
10708,38,36975,33,5,2,1,2
6583,61,72635,981,21,2,0,3
3641,40,13624,36,7,3,1,1
10156,41,84196,1237,20,2,1,3
4299,56,70971,1825,34,3,1,0
3469,39,34487,103,9,3,2,1
5063,39,28769,191,12,2,1,1
10727,46,69084,1586,25,3,1,0
9624,58,65488,963,14,2,0,0
4376,56,32218,93,7,1,0,2
8923,43,83917,1587,21,1,0,0
8461,54,46102,16,4,4,3,2
6945,64,84574,1375,32,1,0,3
944,54,56181,393,14,3,1,2
1907,66,63120,1477,26,2,1,3
701,45,73691,1179,18,3,1,3
4149,68,76140,1348,21,2,0,3
2131,57,62859,1307,23,2,1,0
2942,52,45906,486,15,2,1,2
1173,69,77632,2252,13,2,0,3
4381,45,46463,235,17,4,2,1
4611,46,105471,1724,30,2,0,0
3376,46,55282,235,11,2,1,2
4679,39,78710,1092,28,3,1,0
10928,58,66886,599,17,3,1,0
4248,56,98777,2008,19,1,0,0
6728,31,29103,48,6,3,1,2
6661,42,67445,1174,32,3,1,3
4725,66,50616,67,7,3,1,1
3277,61,49431,365,15,2,1,2
5555,41,153924,6,0,1,0,1
2564,63,61278,165,10,3,1,1
3867,69,73059,1095,26,3,1,0
6940,50,46734,223,12,4,3,1
55,53,56253,597,22,3,1,3
5084,41,58330,1064,24,2,1,3
1777,36,25965,74,6,2,0,2
8162,60,14661,26,5,2,0,1
10826,57,18690,60,5,2,0,1
8754,42,45068,20,4,3,1,2
1987,29,21063,59,7,2,1,2
11007,48,29187,34,5,3,1,2
7426,45,54690,198,12,4,2,1
9153,52,59304,1048,28,3,1,3
10379,54,59247,574,21,3,2,3
9204,46,66731,1029,17,2,1,0
3197,36,77353,670,20,3,1,0
6961,42,26751,11,4,4,2,2
4673,53,81300,1241,21,3,1,0
9937,37,70337,576,17,1,0,3
8779,31,36145,172,12,3,1,2
9596,36,65295,664,20,1,0,0
2891,53,68118,928,23,2,1,3
4910,49,68743,2074,30,1,0,3
75,34,41039,467,15,2,0,2
10120,61,38946,257,12,3,1,1
6327,49,65777,1146,17,2,0,3
10142,40,66476,689,20,2,1,3
9826,44,86857,2114,22,1,0,3
1501,34,160803,1717,44,2,0,0
10767,27,77845,1346,21,2,0,0
7279,47,69476,1044,15,2,0,0
7230,56,50611,493,22,2,1,3
143,46,61209,957,13,1,0,3
450,58,42315,270,12,3,1,1
9316,64,13084,29,5,2,0,2
6379,67,47570,121,9,3,2,2
9239,55,61923,126,8,4,2,1
8315,21,34824,23,4,1,0,1
2868,67,26518,57,8,3,2,2
